backend,request_batch,miss_rate,n_reads,io_size,queue_depth,round,submit_us,completion_us,bytes_read,correct,direct_path,error,phase,submission_group
Tutti-v0.1.1,1,0.067,137,4096,256,62,276.035,671.992,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,63,265.706,641.335,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,64,285.199,700.605,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,65,267.671,652.317,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,66,273.524,666.729,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,67,265.122,638.017,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,68,275.716,650.064,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,69,269.067,650.629,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,70,272.116,646.867,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,71,269.014,652.371,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,72,272.276,656.188,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,73,258.467,625.577,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,74,261.528,638.947,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,75,295.995,667.497,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,76,260.647,634.154,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,77,257.57,637.45,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,78,260.522,640.091,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,79,255.044,635.468,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,80,252.968,628.271,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,81,277.709,649.872,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,82,282.758,660.739,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,83,264.902,644.374,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,84,249.361,630.236,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,85,239.1,605.466,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,86,240.723,629.077,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,87,240.044,600.957,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,88,298.92,681.531,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,89,274.957,649.093,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,90,262.119,642.868,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,91,267.781,655.929,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,92,267.374,676.547,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,93,264.985,648.721,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,94,270.697,676.212,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,95,271.923,652.583,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,96,256.245,653.67,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,97,297.402,693.075,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,98,274.932,664.207,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,99,268.062,648.179,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,100,271.49,650.491,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,101,266.758,651.792,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,102,268.961,636.391,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,103,264.836,675.214,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,104,264.797,647.006,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,105,261.401,699.968,561152,true,public_local_nvme_gpu,,1,16
Tutti-v0.1.1,1,0.067,137,4096,256,106,258.254,632.371,561152,true,public_local_nvme_gpu,,1,16
